Date,Close
2017-05-16,1718.2013
2017-05-17,1802.1638
2017-05-18,1887.3263
2017-05-19,1968.1025
2017-05-20,2051.7350
2017-05-21,2055.6175
2017-05-22,2139.0275
2017-05-23,2291.4775
2017-05-24,2476.2963
2017-05-25,2357.5038
2017-05-26,2247.4825
2017-05-27,2106.3075
2017-05-28,2207.5775
2017-05-29,2289.8700
2017-05-30,2197.2338
2017-05-31,2330.2338
2017-06-01,2452.1813
2017-06-02,2517.4088
2017-06-03,2555.6538
2017-06-04,2552.8088
2017-06-05,2736.5950
2017-06-06,2914.0825
2017-06-07,2694.2188
2017-06-08,2825.0313
2017-06-09,2826.7000
2017-06-10,2942.3450
2017-06-11,3018.5450
2017-06-12,2682.5950
2017-06-13,2738.9313
2017-06-14,2494.4850
2017-06-15,2456.9238

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
